10032:10032,10315,5441,18865,21001,26240,6408,12240,17140,17424
10034:10034,34146,7224,22626,32680,1021,8800,7085,19510,20004
10042:10042,20611,7663,1301,9108,26136,24489,33173,17424,33709
10046:10046,11227,26044,6983,36235,26036,9726,9390,24829,21996
10074:10074,20904,33866,16365,7663,24489,15682,20718,37577,27206
10084:10084,21063,12763,16375,28484,37577,10556,13797,4531,23209
10088:10088,7183,25368,30073,14609,23932,2877,35248,1231,11727
1013:1013,13462,28156,36061,1027,507,36213,5923,21124,21715
10142:10142,507,33846,5949,21187,21186,22938,33698,4345,8009
10158:10158,22227,35125,14003,30736,30228,11602,21522,37728,14887
10160:10160,35971,35873,26525,28556,36082,28289,8106,3437,6732
10166:10166,34556,24290,17980,28993,33965,27930,20248,9824,36869
10169:10169,3114,4465,33784,29277,1717,15295,22475,37922,18255
102:102,32041,18686,31134,13811,8473,16758,24844,13228,21611
1021:1021,31575,13613,11985,13197,7085,32680,33257,15689,26025
10212:10212,8093,22738,4759,26032,1177,17762,28928,21414,3737
10224:10224,9657,34192,4865,26390,6408,9632,13835,2524,29372
10252:10252,36213,22690,13943,15310,26884,28156,1027,5923,507
10264:10264,37002,32402,35143,1042,15052,10514,14913,17330,3822
1027:1027,15310,32429,14508,7726,11340,21186,5949,507,4345
10315:10315,31777,26348,31095,25333,26390,1515,1301,1905,28468
1038:1038,18010,8674,34146,26025,11985,33997,20340,29014,28555
1039:1039,12305,31693,16465,7934,19976,7841,17595,5200,16481
1042:1042,32333,26781,6557,35487,17851,37002,5466,1518,16901
10426:10426,35989,6717,1240,5506,30073,6260,8972,13762,24175
10434:10434,21389,5506,12810,2877,8081,7183,1279,6717,22738
10450:10450,17342,32009,34544,36730,25813,34497,37797,16362,37103
1046:1046,17222,31259,18010,34146,1053,7224,33102,19312,33257
10476:10476,16076,21348,15993,1632,19955,7773,16365,4199,11316
10486:10486,19357,22732,12204,7414,12408,15782,27181,19910,13444
10499:10499,5799,9036,22417,17822,18743,32506,4923,1923,22574
10511:10511,13797,21063,4531,31186,3749,31516,9046,12763,20995
10514:10514,19825,7216,14490,28188,1923,32506,9612,22574,9036
1052:1052,9392,7061,3997,34141,6448,2907,13650,8763,13904
1053:1053,3709,33257,14559,34146,33102,24379,17222,19312,32960
1054:1054,23238,1579,25685,30980,15636,9390,21931,23652,14835
10547:10547,4865,2524,13835,15824,22934,34568,14315,26348,26390
10556:10556,26710,165,8643,34121,12763,28484,35124,4531,37577
10574:10574,17815,36302,34544,27607,9021,25333,33709,25813,26451
10575:10575,14973,6899,18856,14887,3046,4097,30013,11522,11602
10595:10595,28631,4531,3749,29159,385,291,37421,6455,24922
10603:10603,33997,9086,33257,24379,17222,1053,6954,9630,33102
10623:10623,22244,6557,149,35487,5003,11948,4381,134,13815
10626:10626,15636,30643,14835,35971,30980,17147,36235,24958,26525
10633:10633,36730,31159,29866,21348,25813,29719,2434,28940,9503
10669:10669,19506,3046,1463,35125,23155,1374,34991,14887,23791
10682:10682,7000,31921,20948,14205,32324,7279,32094,21077,14285
10685:10685,28347,11602,22035,24648,6839,17796,15268,21691,34906
1073:1073,4939,6732,21996,28893,12183,4263,18682,35971,29461
1075:1075,7189,6732,35971,25347,12252,23652,19998,28893,24958
10750:10750,22313,2525,12204,30640,19910,14187,36817,3967,13444
10768:10768,7000,23241,20342,22840,25357,18548,15684,32422,11718
10780:10780,9512,29866,9398,29719,36302,31159,13910,32457,30711
10830:10830,1587,16614,6387,20948,37316,29237,19645,20994,4466
10846:10846,26535,4866,18743,10499,4923,17822,6309,1396,5799
10873:10873,20014,25887,35989,8927,7183,1231,29583,14113,32337
10907:10907,18687,13471,13342,20373,12565,5307,36730,18170,22732
10934:10934,7841,26902,11831,7509,27632,28957,30566,27748,5200
10982:10982,17231,9934,27298,13835,31015,14881,31262,26390,34718
11000:11000,31159,16201,17185,16804,29385,36068,25813,14451,28058
11037:11037,28993,25695,25725,24437,14582,26345,18432,11404,35909
1105:1105,24648,34906,11296,11602,21522,20016,14973,1400,22035
11066:11066,17280,8972,17463,19827,13762,20977,23932,16017,5506
11094:11094,20711,37000,14508,21310,36061,507,34597,36213,1027
11121:11121,5799,6395,17822,7192,12776,10499,1862,26422,10846
